schema,table,ordinal,column,data_type
bi_jus_vn,etl_ingame_entermap,22,language,varchar
bi_jus_vn,etl_ingame_entermap,23,mac_addr,varchar
bi_jus_vn,etl_ingame_entermap,24,network,varchar
bi_jus_vn,etl_ingame_entermap,25,oaid,varchar
bi_jus_vn,etl_ingame_entermap,26,old_accountid,varchar
bi_jus_vn,etl_ingame_entermap,27,os_name,varchar
bi_jus_vn,etl_ingame_entermap,28,os_ver,varchar
bi_jus_vn,etl_ingame_entermap,29,practice_score,double
bi_jus_vn,etl_ingame_entermap,30,region,varchar
bi_jus_vn,etl_ingame_entermap,31,role_class,bigint
bi_jus_vn,etl_ingame_entermap,32,role_id,varchar
bi_jus_vn,etl_ingame_entermap,33,role_level,bigint
bi_jus_vn,etl_ingame_entermap,34,scene_id,varchar
bi_jus_vn,etl_ingame_entermap,35,server,varchar
bi_jus_vn,etl_ingame_entermap,36,skill_score,double
bi_jus_vn,etl_ingame_entermap,37,talisman_score,double
bi_jus_vn,etl_ingame_entermap,38,tdid,varchar
bi_jus_vn,etl_ingame_entermap,39,total_score,double
bi_jus_vn,etl_ingame_entermap,40,transid,varchar
bi_jus_vn,etl_ingame_entermap,41,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_entermap,42,udid,varchar
bi_jus_vn,etl_ingame_entermap,43,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_entermap,44,urs,varchar
bi_jus_vn,etl_ingame_entermap,45,x,bigint
bi_jus_vn,etl_ingame_entermap,46,y,bigint
bi_jus_vn,etl_ingame_entermap,47,z,bigint
bi_jus_vn,etl_ingame_entermap,48,ds,date
bi_jus_vn,etl_ingame_fashionclothes_change,1,log_type,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,2,__event_id,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,3,account_id,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,4,app_channel,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,5,app_ver,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,6,caid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,7,country_code,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,8,device_height,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,9,device_model,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,10,device_width,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,11,engine_ver,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,12,expir,double
bi_jus_vn,etl_ingame_fashionclothes_change,13,fashionclothes_info,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,14,imei,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,15,is_emulator,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,16,is_root,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,17,isp,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,18,language,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,19,mac_addr,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,20,network,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,21,oaid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,22,old_accountid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,23,os_name,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,24,os_ver,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,25,region,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,26,role_class,bigint
bi_jus_vn,etl_ingame_fashionclothes_change,27,role_gender,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,28,role_id,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,29,role_level,bigint
bi_jus_vn,etl_ingame_fashionclothes_change,30,score,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,31,server,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,32,tdid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,33,transid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,34,tsforvng,timestamp(6) with time zone
bi_jus_vn,etl_ingame_fashionclothes_change,35,udid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,36,unisdk_deviceid,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,37,urs,varchar
bi_jus_vn,etl_ingame_fashionclothes_change,38,ds,date
bi_jus_vn,etl_ingame_fuxinpcplayersay,1,log_type,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,2,__event_id,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,3,account_id,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,4,app_channel,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,5,app_ver,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,6,caid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,7,channel,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,8,chat_time,timestamp(6) with time zone
bi_jus_vn,etl_ingame_fuxinpcplayersay,9,content,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,10,country_code,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,11,device_height,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,12,device_model,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,13,device_width,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,14,engine_ver,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,15,imei,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,16,input_type,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,17,ip,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,18,is_emulator,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,19,is_root,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,20,isp,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,21,language,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,22,mac_addr,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,23,network,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,24,oaid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,25,old_accountid,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,26,os_name,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,27,os_ver,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,28,posx,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,29,posy,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,30,posz,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,31,region,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,32,role_id,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,33,role_level,bigint
bi_jus_vn,etl_ingame_fuxinpcplayersay,34,role_name,varchar
bi_jus_vn,etl_ingame_fuxinpcplayersay,35,role_vip,varchar
